Name,Post date,Post time,Likes,Comment,Share,Save,Reached,Engaged,Profile activity,From Home,From Profile,From Other,From Hashtag,From Explore,Profile visits,Follows,Link taps,Type
Where does inspiration come from,2021/02/02,7:02,33,1,0,10,78,6,1,0,84,6,0,0,1,0,0,composing
Basic composing equipments,2021/02/04,23:03,24,0,0,6,78,9,2,0,89,4,0,0,2,0,0,tech
How to read score,2021/02/06,1:03,22,1,0,6,73,4,0,0,83,4,0,0,0,0,0,composing
Hoo to write music,2021/02/07,3:32,23,1,0,26,84,11,5,0,79,18,4,0,3,2,0,composing
Music analysis,2021/02/08,5:40,18,0,0,11,70,7,0,0,73,8,0,0,0,0,0,composing
Envelope,2021/02/09,4:00,16,0,0,9,57,5,2,0,59,2,3,0,2,0,0,tech
How to build your style,2021/02/10,5:00,25,0,0,11,59,8,0,0,61,8,2,0,0,0,0,survival guide
Mickey mousing,2021/02/11,0:02:00,16,0,0,3,58,2,1,0,61,4,0,0,1,0,0,composing
Difference of Film and Game scores,2021/02/11,23:00,13,0,0,3,55,1,0,0,64,0,0,0,0,0,0,composing
Ear training 1 - pitch,2021/02/13,3:00,20,0,0,15,65,7,0,0,65,10,2,0,0,0,0,composing
Basic of synth,2021/02/14,3:00,17,0,0,16,63,9,6,0,58,10,4,0,3,3,0,tech
Ear training 2 - frequency,2021/02/15,7:00,11,0,0,118,79,3,4,0,60,29,1,0,4,0,0,tech
Habit as your job,2021/02/16,4:00,28,0,0,7,45,5,0,0,47,4,0,0,0,0,0,survival guide
Intro to Leitmotif,2021/02/17,5:02,12,0,0,1,37,1,0,0,44,0,0,0,0,0,0,composing
String writing technique,2021/02/22,3:07,22,0,0,4,46,4,0,0,49,4,0,0,0,0,0,composing
Should I learn music theory,2021/02/19,7:00,26,0,0,6,46,2,0,0,50,1,0,0,0,0,0,composing
Other jobs in film scoring,2021/02/20,4:00,25,0,0,4,47,0,1,0,53,1,0,0,1,0,0,survival guide
Live up your MIDI,2021/02/21,3:00,18,0,0,15,48,6,0,0,50,7,0,0,0,0,0,composing
Works beside composing,2021/02/22,7:00,22,0,0,7,40,2,0,0,43,0,2,0,0,0,0,survival guide
Minimalism music,2021/02/23,4:00,28,4,0,8,34,4,0,0,33,3,1,0,0,0,0,composing
Income sources,2021/02/24,5:01,23,0,0,1,29,0,0,0,32,1,0,0,0,0,0,survival guide
Minor scale,2021/02/25,0:08,18,0,0,7,30,2,0,0,33,0,1,0,0,0,0,composing
Woodwinds instruments,2021/02/25,23:00,18,2,0,2,28,2,0,0,29,0,2,0,0,0,0,composing
